frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
106,7,1.8995941877365112,-0.9546201229095459,-0.09388787299394608,0.1471865475177765,-1.5434202673850264,1.0929762093267577,-0.17808695110305453,207,431,,,,,-1,-1,-1,-1,,,,,,,,,
106,8,1.6181728839874268,-0.9595319032669067,-0.12532782554626465,0.294373095035553,-1.3147654545245837,0.9213910577483411,-0.2022716014727333,160,432,,,,,-1,-1,-1,-1,,,,,,,,,
106,9,1.6885281801223755,-0.9066219925880432,-0.12532782554626465,0.294373095035553,-1.3191626684978242,1.0326608384287368,-0.21106601309718062,208,427,,,,,-1,-1,-1,-1,,,,,,,,,
106,10,1.7588834762573242,-0.9066219925880432,-0.12532782554626465,0.294373095035553,-1.3741277447606364,1.0756883460237554,-0.21986042472162795,251,422,,,,,-1,-1,-1,-1,,,,,,,,,
106,11,1.8292388916015625,-0.9066219925880432,-0.12532782554626465,0.294373095035553,-1.4290929141557076,1.1187159265241398,-0.2286548512472358,268,424,,,,,-1,-1,-1,-1,,,,,,,,,
106,12,1.8995941877365112,-0.9066219925880432,-0.12532782554626465,0.294373095035553,-1.4840579904185198,1.1617434341191584,-0.2374492628716831,221,438,,,,,-1,-1,-1,-1,,,,,,,,,
106,13,1.7588834762573242,-0.8622773289680481,-0.15689286589622498,0.44155964255332947,-1.3191626335989177,1.1304653709355668,-0.2748255342629735,201,416,,,,,-1,-1,-1,-1,,,,,,,,,
106,14,1.8292388916015625,-0.8570719361305237,-0.12532782554626465,0.44155964255332947,-1.3719291557485176,1.1881255292080783,-0.2286548512472358,224,418,,,,,-1,-1,-1,-1,,,,,,,,,
106,15,1.8995941877365112,-0.8530924916267395,-0.09388787299394608,0.44155964255332947,-1.4246956734570515,1.243778659553987,-0.17808695110305453,183,432,,,,,-1,-1,-1,-1,,,,,,,,,
107,0,1.8292388916015625,-0.9511632323265076,-0.06254076212644577,0.0,-1.486256614876256,1.0602289543916188,-0.11432743132748303,170,390,,,,,-1,-1,-1,-1,,,,,,,,,
107,1,1.6885281801223755,-0.9546201229095459,-0.09388787299394608,0.1471865475177765,-1.3719291373264173,0.9715344159115478,-0.15829951333336745,194,410,,,,,-1,-1,-1,-1,,,,,,,,,
107,2,1.7588834762573242,-0.9511632323265076,-0.06254076212644577,0.1471865475177765,-1.4290928393148317,1.0194508751649625,-0.10993021784529945,237,404,,,,,-1,-1,-1,-1,,,,,,,,,
107,3,1.8292388916015625,-0.9511632323265076,-0.06254076212644577,0.1471865475177765,-1.486256614876256,1.0602289543916188,-0.11432743132748303,242,410,,,,,-1,-1,-1,-1,,,,,,,,,
107,4,1.8995941877365112,-0.9491091966629028,-0.0312550887465477,0.1471865475177765,-1.5434202728926105,1.1057974744087946,-0.05936231883583635,210,419,,,,,-1,-1,-1,-1,,,,,,,,,
107,5,1.6885281801223755,-0.9546201229095459,-0.09388787299394608,0.294373095035553,-1.3719291373264173,0.9715344159115478,-0.15829951333336745,206,418,,,,,-1,-1,-1,-1,,,,,,,,,
107,6,1.7588834762573242,-0.9511632323265076,-0.06254076212644577,0.294373095035553,-1.4290928393148317,1.0194508751649625,-0.10993021784529945,248,412,,,,,-1,-1,-1,-1,,,,,,,,,
107,7,1.8292388916015625,-0.9511632323265076,-0.06254076212644577,0.294373095035553,-1.486256614876256,1.0602289543916188,-0.11432743132748303,258,416,,,,,-1,-1,-1,-1,,,,,,,,,
107,8,1.8995941877365112,-0.9484278559684753,0.0,0.294373095035553,-1.5434202971683832,1.1073896623912447,0.0,225,429,,,,,-1,-1,-1,-1,,,,,,,,,
107,9,1.96994948387146,-0.9491091966629028,0.0312550887465477,0.294373095035553,-1.6005839508302822,1.1467529107222796,0.06156092185742646,171,430,,,,,-1,-1,-1,-1,,,,,,,,,
107,10,1.7588834762573242,-0.9022217392921448,-0.09388787299394608,0.44155964255332947,-1.374127724443874,1.085473911562584,-0.16489532219797293,189,416,,,,,-1,-1,-1,-1,,,,,,,,,
107,11,1.8292388916015625,-0.9511632323265076,-0.06254076212644577,0.44155964255332947,-1.486256614876256,1.0602289543916188,-0.11432743132748303,203,416,,,,,-1,-1,-1,-1,,,,,,,,,
107,12,1.8995941877365112,-0.9484278559684753,0.0,0.44155964255332947,-1.5434202971683832,1.1073896623912447,0.0,186,422,,,,,-1,-1,-1,-1,,,,,,,,,
108,0,1.6885281801223755,-0.9511632323265076,-0.06254076212644577,0.1471865475177765,-1.3719291606109558,0.9786728650321465,-0.10553301181369651,170,408,,,,,-1,-1,-1,-1,,,,,,,,,
108,1,1.7588834762573242,-0.9511632323265076,-0.06254076212644577,0.1471865475177765,-1.4290928393148317,1.0194508751649625,-0.10993021784529945,182,404,,,,,-1,-1,-1,-1,,,,,,,,,
108,2,1.8292388916015625,-0.9546201229095459,-0.09388787299394608,0.1471865475177765,-1.4862565896513389,1.0524956343849776,-0.17149114223844905,188,406,,,,,-1,-1,-1,-1,,,,,,,,,
108,3,1.8995941877365112,-0.9022217392921448,-0.09388787299394608,0.1471865475177765,-1.4840579684764164,1.1723118450867953,-0.17808695110305453,172,416,,,,,-1,-1,-1,-1,,,,,,,,,
108,4,1.6885281801223755,-0.9022217392921448,-0.09388787299394608,0.294373095035553,-1.319162648993732,1.0420549815847722,-0.15829951333336745,216,407,,,,,-1,-1,-1,-1,,,,,,,,,
108,5,1.7588834762573242,-0.8991212248802185,-0.06254076212644577,0.294373095035553,-1.3741276947439351,1.0924099545469428,-0.10993021784529945,243,399,,,,,-1,-1,-1,-1,,,,,,,,,
108,6,1.8292388916015625,-0.8991212248802185,-0.06254076212644577,0.294373095035553,-1.4290928621383363,1.136106400113577,-0.11432743132748303,245,401,,,,,-1,-1,-1,-1,,,,,,,,,
108,7,1.8995941877365112,-0.8991212248802185,-0.06254076212644577,0.294373095035553,-1.4840579364004816,1.1798027716415291,-0.11872463735908599,228,413,,,,,-1,-1,-1,-1,,,,,,,,,
108,8,1.96994948387146,-0.8486163020133972,-0.0312550887465477,0.294373095035553,-1.4774620922109427,1.3015440783873435,-0.06156092185742646,191,435,,,,,-1,-1,-1,-1,,,,,,,,,
108,9,2.0403048992156982,-0.8480620980262756,0.0,0.294373095035553,-1.5302287001133874,1.3495348113749692,0.0,161,435,,,,,-1,-1,-1,-1,,,,,,,,,
108,10,1.6885281801223755,-0.9022217392921448,-0.09388787299394608,0.44155964255332947,-1.319162648993732,1.0420549815847722,-0.15829951333336745,162,422,,,,,-1,-1,-1,-1,,,,,,,,,
108,11,1.7588834762573242,-0.8530924916267395,-0.09388787299394608,0.44155964255332947,-1.3191626374287964,1.1516468867583405,-0.16489532219797293,197,416,,,,,-1,-1,-1,-1,,,,,,,,,
108,12,1.8292388916015625,-0.8502860069274902,-0.06254076212644577,0.44155964255332947,-1.3719291410321741,1.204514256030411,-0.11432743132748303,204,413,,,,,-1,-1,-1,-1,,,,,,,,,
108,13,1.8995941877365112,-0.8502860069274902,-0.06254076212644577,0.44155964255332947,-1.424695612069194,1.2508416972251424,-0.11872463735908599,195,415,,,,,-1,-1,-1,-1,,,,,,,,,
108,14,1.96994948387146,-0.8040299415588379,-0.06254076212644577,0.44155964255332947,-1.415901212730956,1.3640988734224946,-0.12312184339068893,184,428,,,,,-1,-1,-1,-1,,,,,,,,,
